Id,Title,Body,Category,Priority
0,Verifica documentazione amministrativa,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,media
1,Problema rete interna,Il server principale mostra rallentamenti significativi e richiede una verifica tecnica approfondita per evitare possibili interruzioni,Tecnico,alta
2,Analisi costi operativi,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,alta
3,Studio mercato di riferimento,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,alta
4,Problema rete interna,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,alta
5,Analisi costi operativi,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,alta
6,Aggiornamento listino prodotti,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,alta
7,Analisi malfunzionamento applicativo,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,alta
8,Aggiornamento software gestionale,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,media
9,Studio mercato di riferimento,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
10,Pianificazione incontro vendita,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
11,Aggiornamento software gestionale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
12,Verifica server principale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
13,Aggiornamento listino prodotti,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,alta
14,Aggiornamento listino prodotti,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,alta
15,Aggiornamento software gestionale,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,alta
16,Analisi richieste cliente,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
17,Preparazione offerta commerciale,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,bassa
18,Analisi malfunzionamento applicativo,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,bassa
19,Richiesta aggiornamento procedure interne,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,alta
20,Verifica server principale,La rete interna presenta instabilita che compromettono il lavoro dei dipendenti e richiedono un intervento immediato per identificare la causa,Tecnico,media
21,Analisi richieste cliente,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,media
22,Richiesta aggiornamento procedure interne,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,media
23,Preparazione offerta commerciale,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
24,Gestione pratiche interne,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,bassa
25,Problema rete interna,Il server principale mostra rallentamenti significativi e richiede una verifica tecnica approfondita per evitare possibili interruzioni,Tecnico,media
26,Verifica server principale,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,media
27,Preparazione offerta commerciale,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
28,Analisi malfunzionamento applicativo,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
29,Aggiornamento listino prodotti,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,media
30,Errore critico nel sistema di autenticazione,La rete interna presenta instabilita che compromettono il lavoro dei dipendenti e richiedono un intervento immediato per identificare la causa,Tecnico,media
31,Pianificazione incontro vendita,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,alta
32,Studio mercato di riferimento,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,alta
33,Studio mercato di riferimento,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,alta
34,Preparazione offerta commerciale,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,bassa
35,Verifica documentazione amministrativa,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,media
36,Richiesta aggiornamento procedure interne,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,bassa
37,Analisi costi operativi,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,alta
38,Richiesta aggiornamento procedure interne,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,bassa
39,Richiesta aggiornamento procedure interne,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,alta
40,Revisione contratti aziendali,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,alta
41,Problema rete interna,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,alta
42,Analisi richieste cliente,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,media
43,Revisione contratti aziendali,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,media
44,Analisi costi operativi,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,bassa
45,Preparazione offerta commerciale,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
46,Analisi costi operativi,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,media
47,Verifica documentazione amministrativa,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,alta
48,Verifica documentazione amministrativa,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,media
49,Analisi richieste cliente,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,media
50,Analisi malfunzionamento applicativo,La rete interna presenta instabilita che compromettono il lavoro dei dipendenti e richiedono un intervento immediato per identificare la causa,Tecnico,media
51,Aggiornamento software gestionale,Il server principale mostra rallentamenti significativi e richiede una verifica tecnica approfondita per evitare possibili interruzioni,Tecnico,media
52,Analisi costi operativi,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,media
53,Verifica server principale,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,bassa
54,Aggiornamento listino prodotti,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
55,Analisi richieste cliente,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,media
56,Richiesta aggiornamento procedure interne,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,alta
57,Analisi richieste cliente,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,media
58,Verifica documentazione amministrativa,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,bassa
59,Problema rete interna,La rete interna presenta instabilita che compromettono il lavoro dei dipendenti e richiedono un intervento immediato per identificare la causa,Tecnico,bassa
60,Analisi richieste cliente,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,bassa
61,Analisi malfunzionamento applicativo,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,alta
62,Analisi malfunzionamento applicativo,Il server principale mostra rallentamenti significativi e richiede una verifica tecnica approfondita per evitare possibili interruzioni,Tecnico,bassa
63,Analisi malfunzionamento applicativo,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,media
64,Problema rete interna,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,bassa
65,Analisi malfunzionamento applicativo,La rete interna presenta instabilita che compromettono il lavoro dei dipendenti e richiedono un intervento immediato per identificare la causa,Tecnico,bassa
66,Analisi richieste cliente,E necessario pianificare un incontro commerciale per presentare i prodotti aziendali e valutare le opportunita di collaborazione,Commerciale,bassa
67,Errore critico nel sistema di autenticazione,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,bassa
68,Analisi richieste cliente,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,bassa
69,Aggiornamento listino prodotti,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,media
70,Studio mercato di riferimento,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,media
71,Analisi malfunzionamento applicativo,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,media
72,Verifica documentazione amministrativa,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,alta
73,Richiesta aggiornamento procedure interne,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,alta
74,Errore critico nel sistema di autenticazione,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,bassa
75,Problema rete interna,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,alta
76,Preparazione offerta commerciale,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,alta
77,Problema rete interna,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,bassa
78,Analisi costi operativi,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,alta
79,Gestione pratiche interne,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,alta
80,Aggiornamento software gestionale,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,media
81,Studio mercato di riferimento,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
82,Analisi costi operativi,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,alta
83,Analisi costi operativi,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,bassa
84,Analisi malfunzionamento applicativo,La rete interna presenta instabilita che compromettono il lavoro dei dipendenti e richiedono un intervento immediato per identificare la causa,Tecnico,alta
85,Analisi malfunzionamento applicativo,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
86,Gestione pratiche interne,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,alta
87,Analisi richieste cliente,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,media
88,Aggiornamento listino prodotti,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,media
89,Gestione pratiche interne,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,bassa
90,Pianificazione incontro vendita,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,bassa
91,Preparazione offerta commerciale,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,alta
92,Revisione contratti aziendali,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,alta
93,Analisi costi operativi,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,alta
94,Aggiornamento software gestionale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
95,Errore critico nel sistema di autenticazione,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,bassa
96,Analisi richieste cliente,E necessario pianificare un incontro commerciale per presentare i prodotti aziendali e valutare le opportunita di collaborazione,Commerciale,alta
97,Analisi richieste cliente,E necessario pianificare un incontro commerciale per presentare i prodotti aziendali e valutare le opportunita di collaborazione,Commerciale,bassa
98,Aggiornamento listino prodotti,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,media
99,Preparazione offerta commerciale,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,alta
100,Studio mercato di riferimento,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,media
101,Preparazione offerta commerciale,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,alta
102,Analisi richieste cliente,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
103,Studio mercato di riferimento,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,media
104,Verifica server principale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,media
105,Analisi richieste cliente,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,bassa
106,Analisi costi operativi,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,alta
107,Preparazione offerta commerciale,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
108,Aggiornamento software gestionale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,alta
109,Aggiornamento listino prodotti,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
110,Aggiornamento listino prodotti,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
111,Analisi costi operativi,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,bassa
112,Aggiornamento listino prodotti,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,alta
113,Richiesta aggiornamento procedure interne,L ufficio necessita di una verifica approfondita della documentazione per assicurare la conformita alle normative vigenti e migliorare la tracciabilita dei processi,Amministrazione,media
114,Errore critico nel sistema di autenticazione,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
115,Analisi malfunzionamento applicativo,Il server principale mostra rallentamenti significativi e richiede una verifica tecnica approfondita per evitare possibili interruzioni,Tecnico,bassa
116,Analisi costi operativi,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,media
117,Pianificazione incontro vendita,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
118,Revisione contratti aziendali,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,media
119,Problema rete interna,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,alta
120,Richiesta aggiornamento procedure interne,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,alta
121,Errore critico nel sistema di autenticazione,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,alta
122,Preparazione offerta commerciale,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,alta
123,Aggiornamento software gestionale,La rete interna presenta instabilita che compromettono il lavoro dei dipendenti e richiedono un intervento immediato per identificare la causa,Tecnico,alta
124,Aggiornamento listino prodotti,E necessario pianificare un incontro commerciale per presentare i prodotti aziendali e valutare le opportunita di collaborazione,Commerciale,bassa
125,Preparazione offerta commerciale,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,media
126,Revisione contratti aziendali,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,alta
127,Analisi richieste cliente,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,media
128,Aggiornamento software gestionale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,alta
129,Verifica server principale,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,alta
130,Gestione pratiche interne,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,media
131,Richiesta aggiornamento procedure interne,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,bassa
132,Revisione contratti aziendali,E necessaria un analisi dettagliata dei costi operativi per individuare possibili ottimizzazioni e riduzioni di spesa,Amministrazione,media
